Date;Time;DateTime;TTV;Thickness;SawGroove;SawEdge;SawStep;LastEmptying;OutSixSigma;WafersProduction;SiliciumType
03/01/2017;01:00;03/01/2017 01:00;32;253;118;3;0;03/01/2017;0;76000;Mono
03/01/2017;02:00;03/01/2017 02:00;32;253;125;2;0;03/01/2017;0;77000;Mono
03/01/2017;03:00;03/01/2017 03:00;33;253;116;1;0;03/01/2017;0;78000;Mono
03/01/2017;04:00;03/01/2017 04:00;34;253;117;2;0;03/01/2017;0;80000;Mono
03/01/2017;05:00;03/01/2017 05:00;35;253;124;3;0;03/01/2017;0;82000;Mono
03/01/2017;06:00;03/01/2017 06:00;36;253;121;4;0;03/01/2017;0;84000;Mono
03/01/2017;07:00;03/01/2017 07:00;38;253;121;5;0;03/01/2017;0;85000;Mono
03/01/2017;08:00;03/01/2017 08:00;40;253;114;6;0;03/01/2017;0;87000;Mono
03/01/2017;09:00;03/01/2017 09:00;42;253;116;7;0;03/01/2017;0;88000;Mono
03/01/2017;10:00;03/01/2017 10:00;44;253;115;8;0;03/01/2017;0;89000;Mono
03/01/2017;11:00;03/01/2017 11:00;47;253;117;7;0;03/01/2017;0;91000;Mono
03/01/2017;12:00;03/01/2017 12:00;50;253;121;6;0;03/01/2017;0;93000;Mono
03/01/2017;13:00;03/01/2017 13:00;53;253;125;5;0;03/01/2017;0;94000;Mono
03/01/2017;14:00;03/01/2017 14:00;56;253;121;4;0;03/01/2017;0;96000;Mono
03/01/2017;15:00;03/01/2017 15:00;60;253;121;3;0;03/01/2017;0;97000;Mono
03/01/2017;16:00;03/01/2017 16:00;64;253;123;2;0;03/01/2017;0;98000;Mono
03/01/2017;17:00;03/01/2017 17:00;68;253;131;1;0;03/01/2017;0;99000;Mono
03/01/2017;18:00;03/01/2017 18:00;72;253;138;0;0;03/01/2017;0;100000;Mono
03/01/2017;19:00;03/01/2017 19:00;77;253;130;0;0;03/01/2017;0;102000;Mono
03/01/2017;20:00;03/01/2017 20:00;82;253;131;0;0;03/01/2017;0;103000;Mono
03/01/2017;21:00;03/01/2017 21:00;87;253;135;0;0;03/01/2017;0;104000;Mono
03/01/2017;22:00;03/01/2017 22:00;92;253;136;0;0;03/01/2017;0;105000;Mono
03/01/2017;23:00;03/01/2017 23:00;98;253;129;0;0;03/01/2017;1;106000;Mono
04/01/2017;00:00;04/01/2017 00:00;104;253;127;0;0;03/01/2017;1;107000;Mono
04/01/2017;01:00;04/01/2017 01:00;32;254;129;0;0;04/01/2017;0;109000;Mono
04/01/2017;02:00;04/01/2017 02:00;32;254;131;0;0;04/01/2017;0;110000;Mono
04/01/2017;03:00;04/01/2017 03:00;33;254;132;0;0;04/01/2017;0;111000;Mono
04/01/2017;04:00;04/01/2017 04:00;34;254;132;0;0;04/01/2017;0;112000;Mono
04/01/2017;05:00;04/01/2017 05:00;35;254;129;0;0;04/01/2017;0;114000;Mono
04/01/2017;06:00;04/01/2017 06:00;36;254;131;0;0;04/01/2017;0;116000;Mono
04/01/2017;07:00;04/01/2017 07:00;38;254;129;0;0;04/01/2017;0;117000;Mono
04/01/2017;08:00;04/01/2017 08:00;40;254;123;0;0;04/01/2017;0;119000;Mono
04/01/2017;09:00;04/01/2017 09:00;42;254;128;0;0;04/01/2017;0;120000;Mono
04/01/2017;10:00;04/01/2017 10:00;44;254;127;0;0;04/01/2017;0;121000;Mono
04/01/2017;11:00;04/01/2017 11:00;47;254;132;0;0;04/01/2017;0;123000;Mono
04/01/2017;12:00;04/01/2017 12:00;50;254;139;0;0;04/01/2017;0;124000;Mono
04/01/2017;13:00;04/01/2017 13:00;53;254;140;0;0;04/01/2017;0;126000;Mono
04/01/2017;14:00;04/01/2017 14:00;56;254;142;0;0;04/01/2017;0;128000;Mono
04/01/2017;15:00;04/01/2017 15:00;60;254;143;0;0;04/01/2017;0;130000;Mono
04/01/2017;16:00;04/01/2017 16:00;64;254;148;0;0;04/01/2017;0;131000;Mono
04/01/2017;17:00;04/01/2017 17:00;68;254;149;0;0;04/01/2017;0;133000;Mono
04/01/2017;18:00;04/01/2017 18:00;72;254;143;0;0;04/01/2017;0;134000;Mono
04/01/2017;19:00;04/01/2017 19:00;77;254;150;0;0;04/01/2017;0;136000;Mono
04/01/2017;20:00;04/01/2017 20:00;82;254;156;0;0;04/01/2017;0;138000;Mono
04/01/2017;21:00;04/01/2017 21:00;87;254;158;0;0;04/01/2017;0;140000;Mono
04/01/2017;22:00;04/01/2017 22:00;92;254;161;0;0;04/01/2017;0;142000;Mono
04/01/2017;23:00;04/01/2017 23:00;98;254;154;0;0;04/01/2017;1;143000;Mono
05/01/2017;00:00;05/01/2017 00:00;104;254;152;0;0;04/01/2017;1;144000;Mono
05/01/2017;01:00;05/01/2017 01:00;32;255;144;0;0;05/01/2017;0;146000;Mono
05/01/2017;02:00;05/01/2017 02:00;32;255;150;0;0;05/01/2017;0;147000;Mono
05/01/2017;03:00;05/01/2017 03:00;33;255;145;0;0;05/01/2017;0;148000;Mono
05/01/2017;04:00;05/01/2017 04:00;34;255;144;0;0;05/01/2017;0;149000;Mono
05/01/2017;05:00;05/01/2017 05:00;35;255;141;0;0;05/01/2017;0;150000;Mono
05/01/2017;06:00;05/01/2017 06:00;36;255;145;0;0;05/01/2017;0;152000;Mono
05/01/2017;07:00;05/01/2017 07:00;38;255;138;0;0;05/01/2017;0;154000;Mono
05/01/2017;08:00;05/01/2017 08:00;40;255;140;0;0;05/01/2017;0;156000;Mono
05/01/2017;09:00;05/01/2017 09:00;42;255;144;0;0;05/01/2017;0;158000;Mono
05/01/2017;10:00;05/01/2017 10:00;44;255;150;0;0;05/01/2017;0;159000;Mono
05/01/2017;11:00;05/01/2017 11:00;47;255;155;0;0;05/01/2017;0;161000;Mono
05/01/2017;12:00;05/01/2017 12:00;50;255;150;0;0;05/01/2017;0;163000;Mono
05/01/2017;13:00;05/01/2017 13:00;53;255;150;0;0;05/01/2017;0;165000;Mono
05/01/2017;14:00;05/01/2017 14:00;56;255;148;0;0;05/01/2017;0;167000;Mono
05/01/2017;15:00;05/01/2017 15:00;60;255;149;0;0;05/01/2017;0;168000;Mono
05/01/2017;16:00;05/01/2017 16:00;64;255;143;0;0;05/01/2017;0;169000;Mono
05/01/2017;17:00;05/01/2017 17:00;68;255;136;0;0;05/01/2017;0;171000;Mono
05/01/2017;18:00;05/01/2017 18:00;72;255;130;0;0;05/01/2017;0;173000;Mono
05/01/2017;19:00;05/01/2017 19:00;77;255;133;0;0;05/01/2017;0;174000;Mono
05/01/2017;20:00;05/01/2017 20:00;82;255;136;0;0;05/01/2017;0;176000;Mono
05/01/2017;21:00;05/01/2017 21:00;87;255;141;0;0;05/01/2017;0;177000;Mono
05/01/2017;22:00;05/01/2017 22:00;92;255;141;0;0;05/01/2017;0;178000;Mono
05/01/2017;23:00;05/01/2017 23:00;98;255;135;0;0;05/01/2017;1;179000;Mono
06/01/2017;00:00;06/01/2017 00:00;104;255;138;0;0;05/01/2017;1;180000;Mono
06/01/2017;01:00;06/01/2017 01:00;32;256;137;0;0;06/01/2017;0;182000;Mono
06/01/2017;02:00;06/01/2017 02:00;32;256;139;0;0;06/01/2017;0;184000;Mono
06/01/2017;03:00;06/01/2017 03:00;33;256;139;0;0;06/01/2017;0;186000;Mono
06/01/2017;04:00;06/01/2017 04:00;34;256;138;0;0;06/01/2017;0;188000;Mono
06/01/2017;05:00;06/01/2017 05:00;35;256;142;0;0;06/01/2017;0;189000;Mono
06/01/2017;06:00;06/01/2017 06:00;36;256;141;0;0;06/01/2017;0;191000;Mono
06/01/2017;07:00;06/01/2017 07:00;38;256;142;0;0;06/01/2017;0;192000;Mono
06/01/2017;08:00;06/01/2017 08:00;40;256;142;0;0;06/01/2017;0;193000;Mono
06/01/2017;09:00;06/01/2017 09:00;42;256;139;0;0;06/01/2017;0;195000;Mono
06/01/2017;10:00;06/01/2017 10:00;44;256;137;0;0;06/01/2017;0;196000;Mono
06/01/2017;11:00;06/01/2017 11:00;47;256;139;0;0;06/01/2017;0;198000;Mono
06/01/2017;12:00;06/01/2017 12:00;50;256;147;0;0;06/01/2017;0;199000;Mono
06/01/2017;13:00;06/01/2017 13:00;53;256;140;2;0;06/01/2017;0;201000;Mono
06/01/2017;14:00;06/01/2017 14:00;56;256;145;3;0;06/01/2017;0;203000;Mono
06/01/2017;15:00;06/01/2017 15:00;60;256;143;4;0;06/01/2017;0;205000;Mono
06/01/2017;16:00;06/01/2017 16:00;64;256;147;5;0;06/01/2017;0;206000;Mono
06/01/2017;17:00;06/01/2017 17:00;68;256;146;6;0;06/01/2017;0;207000;Mono
06/01/2017;18:00;06/01/2017 18:00;72;256;146;7;0;06/01/2017;0;209000;Mono
06/01/2017;19:00;06/01/2017 19:00;77;256;149;8;0;06/01/2017;0;211000;Mono
06/01/2017;20:00;06/01/2017 20:00;82;256;149;9;0;06/01/2017;0;212000;Mono
06/01/2017;21:00;06/01/2017 21:00;87;256;152;10;0;06/01/2017;0;214000;Mono
06/01/2017;22:00;06/01/2017 22:00;92;256;161;11;0;06/01/2017;0;216000;Mono
06/01/2017;23:00;06/01/2017 23:00;98;256;165;12;0;06/01/2017;1;217000;Mono
07/01/2017;00:00;07/01/2017 00:00;104;256;161;13;0;06/01/2017;1;219000;Mono
07/01/2017;01:00;07/01/2017 01:00;31;257;155;14;0;07/01/2017;0;220000;Mono
07/01/2017;02:00;07/01/2017 02:00;31;257;161;15;0;07/01/2017;0;222000;Mono
07/01/2017;03:00;07/01/2017 03:00;32;257;158;16;0;07/01/2017;0;223000;Mono
07/01/2017;04:00;07/01/2017 04:00;33;257;167;17;0;07/01/2017;0;225000;Mono
07/01/2017;05:00;07/01/2017 05:00;34;257;165;18;0;07/01/2017;0;226000;Mono
07/01/2017;06:00;07/01/2017 06:00;35;257;162;19;0;07/01/2017;0;228000;Mono
07/01/2017;07:00;07/01/2017 07:00;37;257;164;20;0;07/01/2017;0;230000;Mono
07/01/2017;08:00;07/01/2017 08:00;39;257;163;21;0;07/01/2017;0;231000;Mono
07/01/2017;09:00;07/01/2017 09:00;41;257;166;22;0;07/01/2017;0;232000;Mono
07/01/2017;10:00;07/01/2017 10:00;43;257;171;23;0;07/01/2017;0;234000;Mono
07/01/2017;11:00;07/01/2017 11:00;46;257;168;24;0;07/01/2017;0;236000;Mono
07/01/2017;12:00;07/01/2017 12:00;49;257;169;25;0;07/01/2017;0;238000;Mono
07/01/2017;13:00;07/01/2017 13:00;52;257;168;26;0;07/01/2017;0;240000;Mono
07/01/2017;14:00;07/01/2017 14:00;55;257;168;27;0;07/01/2017;0;242000;Mono
07/01/2017;15:00;07/01/2017 15:00;59;257;170;28;0;07/01/2017;0;243000;Mono
07/01/2017;16:00;07/01/2017 16:00;63;257;162;29;0;07/01/2017;0;245000;Mono
07/01/2017;17:00;07/01/2017 17:00;67;257;162;30;0;07/01/2017;0;247000;Mono
07/01/2017;18:00;07/01/2017 18:00;71;257;165;31;0;07/01/2017;0;248000;Mono
07/01/2017;19:00;07/01/2017 19:00;76;257;164;32;0;07/01/2017;0;249000;Mono
07/01/2017;20:00;07/01/2017 20:00;81;257;168;33;0;07/01/2017;0;250000;Mono
07/01/2017;21:00;07/01/2017 21:00;86;257;167;34;0;07/01/2017;0;252000;Mono
07/01/2017;22:00;07/01/2017 22:00;91;257;159;35;0;07/01/2017;0;254000;Mono
07/01/2017;23:00;07/01/2017 23:00;97;257;159;36;0;07/01/2017;1;256000;Mono
08/01/2017;00:00;08/01/2017 00:00;103;257;154;37;0;07/01/2017;1;258000;Mono
08/01/2017;01:00;08/01/2017 01:00;31;258;155;38;0;08/01/2017;0;259000;Mono
08/01/2017;02:00;08/01/2017 02:00;31;258;160;39;0;08/01/2017;0;261000;Mono
08/01/2017;03:00;08/01/2017 03:00;32;258;163;40;0;08/01/2017;0;262000;Mono
08/01/2017;04:00;08/01/2017 04:00;33;258;159;41;0;08/01/2017;0;264000;Mono
08/01/2017;05:00;08/01/2017 05:00;34;258;154;42;0;08/01/2017;0;265000;Mono
08/01/2017;06:00;08/01/2017 06:00;35;258;147;43;0;08/01/2017;0;266000;Mono
08/01/2017;07:00;08/01/2017 07:00;37;258;154;44;0;08/01/2017;0;268000;Mono
08/01/2017;08:00;08/01/2017 08:00;39;258;151;45;0;08/01/2017;0;270000;Mono
08/01/2017;09:00;08/01/2017 09:00;41;258;154;46;0;08/01/2017;0;272000;Mono
08/01/2017;10:00;08/01/2017 10:00;43;258;147;47;0;08/01/2017;0;274000;Mono
08/01/2017;11:00;08/01/2017 11:00;46;258;146;48;0;08/01/2017;0;276000;Mono
08/01/2017;12:00;08/01/2017 12:00;49;258;146;49;0;08/01/2017;0;277000;Mono
08/01/2017;13:00;08/01/2017 13:00;52;258;143;50;0;08/01/2017;0;278000;Mono
08/01/2017;14:00;08/01/2017 14:00;55;258;139;51;0;08/01/2017;0;280000;Mono
08/01/2017;15:00;08/01/2017 15:00;59;258;138;52;0;08/01/2017;0;281000;Mono
08/01/2017;16:00;08/01/2017 16:00;63;258;139;53;0;08/01/2017;0;283000;Mono
08/01/2017;17:00;08/01/2017 17:00;67;258;144;54;0;08/01/2017;0;285000;Mono
08/01/2017;18:00;08/01/2017 18:00;71;258;151;55;0;08/01/2017;0;286000;Mono
08/01/2017;19:00;08/01/2017 19:00;76;258;148;56;0;08/01/2017;0;287000;Mono
08/01/2017;20:00;08/01/2017 20:00;81;258;140;57;0;08/01/2017;0;288000;Mono
08/01/2017;21:00;08/01/2017 21:00;86;258;146;58;0;08/01/2017;0;290000;Mono
08/01/2017;22:00;08/01/2017 22:00;91;258;140;59;0;08/01/2017;0;291000;Mono
08/01/2017;23:00;08/01/2017 23:00;97;258;138;60;0;08/01/2017;1;293000;Mono
09/01/2017;00:00;09/01/2017 00:00;103;258;147;61;0;08/01/2017;1;294000;Mono
09/01/2017;01:00;09/01/2017 01:00;31;259;156;62;0;09/01/2017;0;295000;Mono
09/01/2017;02:00;09/01/2017 02:00;31;259;158;63;0;09/01/2017;0;296000;Mono
09/01/2017;03:00;09/01/2017 03:00;32;259;149;64;0;09/01/2017;0;297000;Mono
09/01/2017;04:00;09/01/2017 04:00;33;259;144;65;0;09/01/2017;0;299000;Mono
09/01/2017;05:00;09/01/2017 05:00;34;259;149;64;0;09/01/2017;0;300000;Mono
09/01/2017;06:00;09/01/2017 06:00;35;259;151;63;0;09/01/2017;0;302000;Mono
09/01/2017;07:00;09/01/2017 07:00;37;259;149;62;0;09/01/2017;0;304000;Mono
09/01/2017;08:00;09/01/2017 08:00;39;259;154;61;0;09/01/2017;0;306000;Mono
09/01/2017;09:00;09/01/2017 09:00;41;259;153;60;0;09/01/2017;0;308000;Mono
09/01/2017;10:00;09/01/2017 10:00;43;259;155;59;0;09/01/2017;0;310000;Mono
09/01/2017;11:00;09/01/2017 11:00;46;259;153;58;0;09/01/2017;0;311000;Mono
09/01/2017;12:00;09/01/2017 12:00;49;259;149;57;0;09/01/2017;0;313000;Mono
09/01/2017;13:00;09/01/2017 13:00;52;259;148;56;0;09/01/2017;0;314000;Mono
09/01/2017;14:00;09/01/2017 14:00;55;259;152;55;0;09/01/2017;0;316000;Mono
09/01/2017;15:00;09/01/2017 15:00;59;259;150;54;0;09/01/2017;0;318000;Mono
09/01/2017;16:00;09/01/2017 16:00;63;259;145;53;0;09/01/2017;0;320000;Mono
09/01/2017;17:00;09/01/2017 17:00;67;259;152;52;0;09/01/2017;0;322000;Mono
09/01/2017;18:00;09/01/2017 18:00;71;259;151;51;0;09/01/2017;0;324000;Mono
09/01/2017;19:00;09/01/2017 19:00;76;259;153;50;0;09/01/2017;0;326000;Mono
09/01/2017;20:00;09/01/2017 20:00;81;259;152;49;0;09/01/2017;0;328000;Mono
09/01/2017;21:00;09/01/2017 21:00;86;259;153;48;0;09/01/2017;0;329000;Mono
09/01/2017;22:00;09/01/2017 22:00;91;259;150;47;0;09/01/2017;0;330000;Mono
09/01/2017;23:00;09/01/2017 23:00;97;259;153;46;0;09/01/2017;1;332000;Mono
10/01/2017;00:00;10/01/2017 00:00;103;259;156;45;0;09/01/2017;1;334000;Mono
10/01/2017;01:00;10/01/2017 01:00;30;260;157;44;0;10/01/2017;0;336000;Mono
10/01/2017;02:00;10/01/2017 02:00;30;260;159;43;0;10/01/2017;0;338000;Mono
10/01/2017;03:00;10/01/2017 03:00;31;260;153;42;0;10/01/2017;0;339000;Mono
10/01/2017;04:00;10/01/2017 04:00;32;260;152;41;0;10/01/2017;0;341000;Mono
10/01/2017;05:00;10/01/2017 05:00;33;260;149;40;0;10/01/2017;0;343000;Mono
10/01/2017;06:00;10/01/2017 06:00;34;260;147;39;0;10/01/2017;0;344000;Mono
10/01/2017;07:00;10/01/2017 07:00;36;260;153;38;0;10/01/2017;0;345000;Mono
10/01/2017;08:00;10/01/2017 08:00;38;260;152;37;0;10/01/2017;0;347000;Mono
10/01/2017;09:00;10/01/2017 09:00;40;260;148;36;0;10/01/2017;0;349000;Mono
10/01/2017;10:00;10/01/2017 10:00;42;260;149;35;0;10/01/2017;0;350000;Mono
10/01/2017;11:00;10/01/2017 11:00;45;260;156;34;0;10/01/2017;0;351000;Mono
10/01/2017;12:00;10/01/2017 12:00;48;260;156;33;0;10/01/2017;0;352000;Mono
10/01/2017;13:00;10/01/2017 13:00;51;260;155;32;0;10/01/2017;0;354000;Mono
10/01/2017;14:00;10/01/2017 14:00;54;260;148;31;0;10/01/2017;0;356000;Mono
10/01/2017;15:00;10/01/2017 15:00;58;260;145;30;0;10/01/2017;0;357000;Mono
10/01/2017;16:00;10/01/2017 16:00;62;260;144;29;0;10/01/2017;0;358000;Mono
10/01/2017;17:00;10/01/2017 17:00;66;260;142;28;0;10/01/2017;0;359000;Mono
10/01/2017;18:00;10/01/2017 18:00;70;260;143;27;0;10/01/2017;0;361000;Mono
10/01/2017;19:00;10/01/2017 19:00;75;260;144;26;0;10/01/2017;0;363000;Mono
10/01/2017;20:00;10/01/2017 20:00;80;260;150;25;0;10/01/2017;0;365000;Mono
10/01/2017;21:00;10/01/2017 21:00;85;260;154;24;0;10/01/2017;0;367000;Mono
10/01/2017;22:00;10/01/2017 22:00;90;260;150;23;0;10/01/2017;0;369000;Mono
10/01/2017;23:00;10/01/2017 23:00;96;260;149;22;0;10/01/2017;1;371000;Mono
11/01/2017;00:00;11/01/2017 00:00;102;260;158;21;0;10/01/2017;1;373000;Mono
11/01/2017;01:00;11/01/2017 01:00;31;261;155;20;0;11/01/2017;0;375000;Mono
11/01/2017;02:00;11/01/2017 02:00;31;261;155;19;0;11/01/2017;0;376000;Mono
11/01/2017;03:00;11/01/2017 03:00;32;261;153;18;0;11/01/2017;0;378000;Mono
11/01/2017;04:00;11/01/2017 04:00;33;261;154;17;0;11/01/2017;0;380000;Mono
11/01/2017;05:00;11/01/2017 05:00;34;261;155;16;0;11/01/2017;0;382000;Mono
11/01/2017;06:00;11/01/2017 06:00;35;261;151;15;0;11/01/2017;0;383000;Mono
11/01/2017;07:00;11/01/2017 07:00;37;261;153;14;0;11/01/2017;0;385000;Mono
11/01/2017;08:00;11/01/2017 08:00;39;261;153;13;0;11/01/2017;0;387000;Mono
11/01/2017;09:00;11/01/2017 09:00;41;261;159;12;0;11/01/2017;0;388000;Mono
11/01/2017;10:00;11/01/2017 10:00;43;261;159;11;0;11/01/2017;0;389000;Mono
11/01/2017;11:00;11/01/2017 11:00;46;261;163;10;0;11/01/2017;0;391000;Mono
11/01/2017;12:00;11/01/2017 12:00;49;261;169;9;0;11/01/2017;0;393000;Mono
11/01/2017;13:00;11/01/2017 13:00;52;261;165;8;0;11/01/2017;0;394000;Mono
11/01/2017;14:00;11/01/2017 14:00;55;261;165;7;0;11/01/2017;0;396000;Mono
11/01/2017;15:00;11/01/2017 15:00;59;261;164;6;0;11/01/2017;0;397000;Mono
11/01/2017;16:00;11/01/2017 16:00;63;261;158;5;0;11/01/2017;0;399000;Mono
11/01/2017;17:00;11/01/2017 17:00;67;261;163;6;0;11/01/2017;0;400000;Mono
11/01/2017;18:00;11/01/2017 18:00;71;261;162;7;0;11/01/2017;0;402000;Mono
11/01/2017;19:00;11/01/2017 19:00;76;261;166;8;0;11/01/2017;0;404000;Mono
11/01/2017;20:00;11/01/2017 20:00;81;261;169;9;0;11/01/2017;0;405000;Mono
11/01/2017;21:00;11/01/2017 21:00;86;261;165;10;0;11/01/2017;0;406000;Mono
11/01/2017;22:00;11/01/2017 22:00;91;261;161;11;0;11/01/2017;0;407000;Mono
11/01/2017;23:00;11/01/2017 23:00;97;261;165;12;0;11/01/2017;1;408000;Mono
12/01/2017;00:00;12/01/2017 00:00;103;261;164;13;0;11/01/2017;1;409000;Mono
12/01/2017;01:00;12/01/2017 01:00;31;262;161;14;0;12/01/2017;0;410000;Mono
12/01/2017;02:00;12/01/2017 02:00;31;262;165;15;0;12/01/2017;0;412000;Mono
12/01/2017;03:00;12/01/2017 03:00;32;262;164;16;0;12/01/2017;0;414000;Mono
12/01/2017;04:00;12/01/2017 04:00;33;262;165;17;0;12/01/2017;0;416000;Mono
12/01/2017;05:00;12/01/2017 05:00;34;262;169;18;0;12/01/2017;0;417000;Mono
12/01/2017;06:00;12/01/2017 06:00;35;262;161;19;0;12/01/2017;0;419000;Mono
12/01/2017;07:00;12/01/2017 07:00;37;262;168;20;0;12/01/2017;0;420000;Mono
12/01/2017;08:00;12/01/2017 08:00;39;262;160;21;0;12/01/2017;0;422000;Mono
12/01/2017;09:00;12/01/2017 09:00;41;262;159;22;0;12/01/2017;0;424000;Mono
12/01/2017;10:00;12/01/2017 10:00;43;262;162;23;0;12/01/2017;0;426000;Mono
12/01/2017;11:00;12/01/2017 11:00;46;262;157;24;0;12/01/2017;0;428000;Mono
12/01/2017;12:00;12/01/2017 12:00;49;262;153;25;0;12/01/2017;0;429000;Mono
12/01/2017;13:00;12/01/2017 13:00;52;262;152;26;0;12/01/2017;0;431000;Mono
12/01/2017;14:00;12/01/2017 14:00;55;262;151;27;0;12/01/2017;0;433000;Mono
12/01/2017;15:00;12/01/2017 15:00;59;262;145;28;0;12/01/2017;0;434000;Mono
12/01/2017;16:00;12/01/2017 16:00;63;262;144;29;0;12/01/2017;0;436000;Mono
12/01/2017;17:00;12/01/2017 17:00;67;262;144;30;0;12/01/2017;0;438000;Mono
12/01/2017;18:00;12/01/2017 18:00;71;262;153;31;0;12/01/2017;0;439000;Mono
12/01/2017;19:00;12/01/2017 19:00;76;262;158;32;0;12/01/2017;0;440000;Mono
12/01/2017;20:00;12/01/2017 20:00;81;262;158;33;0;12/01/2017;0;442000;Mono
12/01/2017;21:00;12/01/2017 21:00;86;262;165;34;0;12/01/2017;0;443000;Mono
12/01/2017;22:00;12/01/2017 22:00;91;262;165;35;0;12/01/2017;0;444000;Mono
12/01/2017;23:00;12/01/2017 23:00;97;262;170;36;0;12/01/2017;1;446000;Mono
